title1,title2,no,desc,img_url
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0025.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0026.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0027.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0028.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0029.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0030.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0031.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0032.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0033.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0034.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0035.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0036.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0037.jpg
『大日本史料』,1編,1,仁和 3年 8月～寛平3年12月,https://clioimg.hi.u-tokyo.ac.jp/viewer/api/image/idata%2F850%2F8500%2F02%2F0101%2F0038.jpg
